,Title,Company,Job Description,Seniority Level,Employment Type,Industry,Job Function,Link
70,Customer Support Specialist,Eliassen Group,"The Customer Care Team is responsible for external customer support as well as internal support. As a member of the Customer Care Team you will have the opportunity to work with a diverse team that serve in a variety of different roles. The Customer Care Coordinator should be an organized, driven individual that thrives in a fast paced ever changing environment, while always keeping a positive, can-do spirit of service. ",Mid-Senior level,Contract,Hospital & Health Care,Customer Service,https://www.linkedin.com/jobs/view/customer-support-specialist-at-eliassen-group-2224790824?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=4&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
71,HR Generalist,Sparks Group,"Job Summary/Company: Our client, a nonprofit dedicated to promoting democracy worldwide, is searching for a collaborative Human Resources Generalist to join its team. This individual will support the gamut of typical Generalist functions with an emphasis on employee relations and engagement. If you are mission-driven and passionate about Human Resources, please apply.







Qualified candidates should apply below AND call for additional details. Please note, resume must include a valid email address in order to be considered. We look forward to discussing your background, your current job search, and your potential career path with !

Sparks Group is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, pregnancy, citizenship, family status, genetic information, disability, or protected veteran status.",Associate,Full-time,Information Technology and Services,Human Resources,https://www.linkedin.com/jobs/view/hr-generalist-at-sparks-group-2257623744?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=5&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
72,Career Transition Specialist,Potomac Job Corps Ctr,"Job Summary: Prepares graduates for successful job search, employment, military, and further education and training opportunities and to access resources and services that will assist graduates to successfully transition to the workforce.

Duties

To perform this job successfully, and individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Minimum of one to two years related experience in education. Reasonable accommodations may be made to individuals with disabilities to perform the essential functions.

Minimum of one to two years related experience in case management and/or job development.

Bachelor’s degree in Human Resources, Social Work, Counseling from a four-year college or university and/or equivalent combination of education and experience.

Valid State Drivers License.

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee is regularly required to sit and stand and walk; to reach with hands and arms and talk and listen. The employee is occasionally required to sit; to use hands to finger, handle, or feel; to taste and to smell. The employee must be able to occasionally lift and/or move up to 25 pounds. Specific vision capabilities required by this job include close vision, distance vision, and peripheral vision.

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee is occasionally exposed to outdoor weather conditions. The noise level can vary from moderate to loud.

The Potomac Job Corp Center is located in southwest DC. This education center focus on training young adults from the ages of 16 to 24+ years. Our mission is to train our youth, from various life and educational backgrounds, to be productive and well paid citizens for their communities. We provide training opportunities for young adults free of charge that they cannot receive without this program. Job Corp is a funded program under Department of Labor- Education and Training. If you want to be a part of a great program and give to our youth, please apply!",Entry level,Full-time,Nonprofit Organization Management,Other,https://www.linkedin.com/jobs/view/career-transition-specialist-at-potomac-job-corps-ctr-2255698592?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=6&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
73,Digital Product Manager,"Volkswagen of America, Inc","Role Summary

We are seeking an energetic and proactive product manager to define the next generation customer-facing experiences and features across mobile/web for our VCI brand. This role will be responsible for understanding customer needs, defining intent and requirements, and translating the vision, value, and viability for the organization. The role will work closely with User Experience, Digital Delivery, and Technology teams to bring experiences to life. This role will also collaborate closely with other internal and external partners (Marketing, Sales, Product, and agencies).












United States-Virginia-Herndon



–




–

–














We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace and perform pre-employment substance abuse testing.",Not Applicable,Full-time,Automotive,Product Management,https://www.linkedin.com/jobs/view/digital-product-manager-at-volkswagen-of-america-inc-2225868960?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=7&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
74,IT Help Desk Analyst,National Endowment for Democracy,"The National Endowment for Democracy (NED) a federally funded, private, nonprofit grant making organization that works to support freedom around the world, seeksanIT Helpdesk Analyst Tier 1to work in the Knowledge Management & IT Department.This position is based in Washington, DC Position Summary:The IT Helpdesk Analyst (ITHDA) is responsible for providing Tier 1 level support for timely, accurate, and responsive resolution of computing hardware, operating system, application, phone, mobile device, and other technical support issues for the end-user community.The analyst will assist with the implementation, support, and management of current and future hardware and software technologies.The ITHDA also coordinates with senior IT staff and management to implement, review and update help desk related policies and procedures for maximum efficiency.Responsibilities:Serve as first-line customer service, providing tier 1 helpdesk support to all Endowment staffDiagnose technical issues, provide technical analysis and engage appropriate resources to speed problem resolutionPerform triage and manage the NED helpdesk ticketing systemtroubleshoot and resolve problems to fulfill requestsrespond/update help desk tickets upon problem or request resolutionescalate or refer tickets as necessaryensure closed helpdesk tickets are adequately documentedprovide follow-up status toend-users in accordance with specified support policies and proceduresAssist in coordination/provision of mobile devices for employees based on requestsConfigure mobile devices, install software, and image equipmentManage add/change/delete requests for phone systemMaintain workstation hardware and peripheral inventory and storageOrganize and maintain storage facilities, server rooms, and workroom spaceIdentify and learn appropriate software and hardware used and supported by the Endowment; increase personal knowledge of the technical environment; improve ability to operate all support tools and technologiesAccess and provide technical solutions to frequently asked questions and use resources on the Internet to aid in problem resolutionProvide administrative assistance for department documentation and standardsDevelop and present short technical presentations to Endowment staffParticipate in new-hire orientation for NEDs computer systemsProvide technical support to other Analysts and work closely with all IT team members in order to streamline supportQualifications:Knowledge/Experience:2+ years of direct support to end-users of information systems, or relevant experience in a technical or customer support environment;Bachelors degree or equivalent experience required.Other Qualifications:Understanding of information systems technology including common computer applications, operating systems, hardware, networks, and messaging systems;Knowledge configuring, installing, troubleshooting, and repairing PC and laptop hardware and software technologies;Demonstrated technical, analytical and problem-solving skills;Authorized to work in the United States.Competencies:Excellent customer service skills when dealing with staff at all levels;Excellent verbal, written and interpersonal communication skills;Ability to interpret customer needs and provide thorough and complete support;Ability to maintain professionalism under pressure;Must be organized, versatile and possess strong administrative skills;Must be able to work both independently and as a team member;Ability to facilitate and present to large audiences.To Apply: https://nedjobs.recruiterbox.com/jobs/fk0qnog?source=idealist.orgApplications must include a cover letter, resume, desired salary, and contact information for three professional references. Please, no phone calls. For more information, please visit our website atwww.ned.orgor email us atcareers@ned.org.The NED is an Equal Opportunity Employer.",Entry level,Full-time,International Affairs,Information Technology,https://www.linkedin.com/jobs/view/it-help-desk-analyst-at-national-endowment-for-democracy-2255480925?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=8&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
75,Acquisition Support Analyst,Hamdan Resources,"Washington, DC

Candidate must be a U.S Citizen and have the ability to obtain a Public Trust

Responsibilities

Our Client is looking for an Acquisition Support Analyst to create statements of work, white papers, and lists of assumptions, cost models, and informational briefings. Collaborate with VHA Acquisition Centers, VA TAC, and OEHRM TIO Leads to guide task order development and ensure timelines are met through the delivery of tangible work products (e.g. technical writing and editing, professional PowerPoint presentations, and infographics). Assist with government led analysis and alternatives utilizing critical thinking skills, ROIs, market research, and planning activities ranging from tactical to strategic. Track and shepherd acquisitions through the OEHRM Investment Justification Process (IJP).





US Citizen with the ability to obtain a Public Trust







Full Time / Permanent



This role will be remote until operations go back to normal with COVID, will be required to report to site 1-2 times a week for meetings. Business work hours are set from Monday through Friday 8:00am to 5:00pm.



May be required to lift and carry items weighting up to 25 lbs. Requires intermittent standing, walking, sitting, squatting, stretching, and bending throughout the workday.



Successful Completion of a Background Screening/Check/Investigation will/may be required as a condition of hire.

Powered by JazzHR

GIBxYOSZj4",Entry level,Full-time,Information Technology and Services,Information Technology,https://www.linkedin.com/jobs/view/acquisition-support-analyst-at-hamdan-resources-2256019215?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=9&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
76,Administrative Coordinator,ABM Industries,"Job Description

Position Summary

The Administrative Assistant is responsible for all basic office administrative tasks including, but not limited to, corresponding directly with Education Services client, ABM Staff, new hire on-boarding, answering phones, filing, data entry, ordering supplies, payroll assistance and will perform any additional duties as directed by Management. This position reports directly to the Account Manager and provides additional support to the Assistant Account Manager as needed.



Administrative Functions

HR related functions",Entry level,Full-time,Construction,Administrative,https://www.linkedin.com/jobs/view/administrative-coordinator-at-abm-industries-2254762031?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=10&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
77,Client Service Representative,"Telemet America, Inc.","Client Service - Financial Data Platform Support
POSITION OVERVIEW:
Answer client questions via our chat, video, email and phone calls. Foster client retention by helping client’s workflow using our financial data platform. You should be familiar with financial investments and will become thoroughly familiar with Telemet’s financial data platform via our coaching and training. See www.taquote.com.",Entry level,Full-time,Financial Services,Customer Service,https://www.linkedin.com/jobs/view/client-service-representative-at-telemet-america-inc-2227361659?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=11&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
78,Strategy Analyst,Population Services International,"Strategy Analyst

Based in Washington DC or other location in the US

Up to 10% international travel

Reports to



With over 50 years of experience, working in over 50 countries, Population Services International (PSI) is the world’s leading non-profit social marketing organization. PSI is reimagining healthcare, by putting the consumer at the center, and wherever possible – bringing care to the front door. We are working to fix market failures, shape future health markets and shift policy and funding to better support consumer empowered healthcare.

There are over 7,000 “PSI’ers” around the world. We are a diverse group of entrepreneurial development professionals with a wide range of backgrounds and experience. All with unique skills that we bring to the critically important work that we do.



The Strategy & Insights team champions insight-driven prioritization across PSI, ensuring we are “doing the right things” even as we work on “doing things right.” The team promotes best practice in program design, marketing discipline, research, learning, and strategy development. The team works with other departments to systematically capture, synthesize, and share internal and external evidence, consumer and market insights, competitive market intelligence and program experience to guide global, market level, and program level strategy.

We are looking for to help us monitor trends affecting PSI’s global strategy, develop an approach for systematically mapping PSI’s peers and partners, and provide dynamic insights on PSI’s market positioning.

Sound like you? Read on.














The candidate we hire will embody PSI’s corporate values:

The Basics




PSI is an Equal Opportunity Employer and encourages applications from qualified individuals regardless of actual or perceived race, religion, color, sex, age, national origin, disability, sexual orientation, marital status, personal appearance, matriculation, political affiliation, family status or responsibilities, gender identity or expression, pregnancy, childbirth, related medical conditions or breastfeeding, genetic information, amnesty, veteran, special disabled veteran or uniform service member status or employment status.

ACCESSIBILITY NOTICE: If you need a reasonable accommodation for any part of the employment process due to a physical or mental disability, please send an email to: newhiresupport@psi.org or call (202)785-0072.



Apply for this job online Apply

Share

Email this job to a friend

Sorry the Share function is not working properly at this moment. Please refresh the page and try again later.

Share on your newsfeed



Not ready to apply? Connect with us for general consideration.",Associate,Full-time,Marketing and Advertising,Business Development,https://www.linkedin.com/jobs/view/strategy-analyst-at-population-services-international-2227336933?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=12&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
79,Experience Consultant,EPAM Systems,"EPAM is committed to providing our global team of 36,700+ EPAMers with inspiring careers from day one. EPAMers lead with passion and honesty and think creatively. Our people are the source of our success and we value collaboration, try to always understand our customers’ business, and strive for the highest standards of excellence. In today’s new market conditions, we continue to support operations for hundreds of clients around the world remotely, with the vast majority of our teams working from home. No matter where you are located, you’ll join a dedicated, diverse community that will help you discover your fullest potential.",Mid-Senior level,Full-time,Information Technology and Services,Project Management,https://www.linkedin.com/jobs/view/experience-consultant-at-epam-systems-2258261976?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=13&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
80,Organizational Development Manager,USO,"The Manager HR Special Projects and Organizational Development is responsible for managing and supporting the assessment of organizational needs and the design, implementation and evaluation of programs that facilitate the professional development and continuous learning of team members, particularly current and emerging leaders. This position is also responsible for managing the strategic planning process, initiatives, and communications for the Department, and for developing, overseeing, tracking and reporting on strategic projects. Reports directly to the SVP of Global Human Resources.",Mid-Senior level,Full-time,Nonprofit Organization Management,Management,https://www.linkedin.com/jobs/view/organizational-development-manager-at-uso-2242525569?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=14&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
81,Recruiter,Allied Universal,"Allied Universal is currently seeking a Client Specific Recruiter in Fairfax, VA to develop and execute all recruiting strategies to ensure an ongoing pool of available and qualified Security Professional candidates to meet the site hiring needs.
  ",Entry level,Full-time,Security and Investigations,Other,https://www.linkedin.com/jobs/view/recruiter-at-allied-universal-2257890137?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=15&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
82,ISSO,The Goal,"General Overview:

This position will support the Assistant Secretary for Administration (ASA) under guidance from the CIO's Information System Security Manager (ISSM). The candidate will ensure a portfolio of 4 systems are in compliance with applicable NIST standards, and provide standard ISSO services. The candidate will also work closely with the other ISSOs supporting DoT customers to provide leadership and mentoring and ensure consistent delivery of ISSO services.",Mid-Senior level,Full-time,Information Technology and Services,Consulting,https://www.linkedin.com/jobs/view/isso-at-the-goal-2258178184?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=16&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
83,Medical Receptionist,Pediatric Office,"Medical Receptionist
Laurel, MD

Must

Qualified Medical Receptionist with experience in a medical office
Need to have Great Tenure
EMR experience
Customer Service Skills
Insurance Verification



Welcomes patients and visitors by greeting patients and visitors, in person or on the telephone; answering or referring inquiries
Optimizes patients' satisfaction, provider time, and treatment room utilization by scheduling appointments in person or by telephone
Keeps patient appointments on schedule by notifying provider of patient's arrival; reviewing service delivery compared to schedule; reminding provider of service delays
Comforts patients by anticipating patients' anxieties; answering patients' questions maintaining the reception area
Ensures availability of treatment information by filing and retrieving patient records.
Maintains patient accounts by obtaining, recording, and updating personal and financial information
Obtains revenue by recording and updating financial information; recording and collecting patient charges; controlling credit extended to patients; filing, collecting, and expediting third-party claims
Maintains business office inventory and equipment by checking stock to determine inventory level; anticipating needed supplies; placing and expediting orders for supplies; verifying receipt of supplies; scheduling equipment service and repairs
Helps patients in distress by responding to emergencies
Protects patients' rights by maintaining confidentiality of personal and financial information
Maintains operations by following policies and procedures; reporting needed changes
Contributes to team effort by accomplishing related results as needed",Entry level,Full-time,"Health, Wellness and Fitness",Administrative,https://www.linkedin.com/jobs/view/medical-receptionist-at-pediatric-office-2256665091?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=17&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
84,Freelance Creative Copywriter,"McKinley Marketing Partners, an Inc. 5000 Company","Our agency client in northern Virginia is in search of a part-time creative copywriter to work 20 hours a week on campaigns for their client. Work must be done during business hours. The creative copywriter will work closely with the creative team, account manager, and client, writing, editing, and authenticating promotional and technical materials.",Associate,Part-time,Marketing and Advertising,Writing/Editing,https://www.linkedin.com/jobs/view/freelance-creative-copywriter-at-mckinley-marketing-partners-an-inc-5000-company-2227361099?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=18&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
85,Private Equity Compliance Associate,Howard-Sloan Search,"A growing Private Equity /Venture Capital firm is looking for a Compliance Associate to assist with the continual enhancement & maintenance of the compliance program.

Responsibilities include:",Associate,Full-time,Investment Management,Finance,https://www.linkedin.com/jobs/view/private-equity-compliance-associate-at-howard-sloan-search-2204990751?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=19&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
86,Internet Sales Representative I,Oracle,"The primary focus of an Internet Sales representative is to sell solutions and services to existing Oracle customers and to prospect for new customers in the assigned territory or vertical.

As an Internet Sales Representative you will sell products and services to an assigned geographic or national account base territory to achieve assigned objectives. Generates sales leads as well as closing the sales on line or by phone. Utilizes inbound and/or outbound calls to pursue sales. Develops account penetration strategies, and closes business . Responsible for understanding Oracle's product offerings and competitive issues. Identifies new business opportunities by creating and implementing territory campaigns with management assistance. Liaise with customer contacts for the purpose of managing the customer relationship, identifying new opportunities, and selling Oracle products and services. Participates as a team member on sales teams including field sales, support and education sales and sales consulting.

Work involves some problem solving with assistance and guidance in understanding and applying company policies and procedures. Works under close supervision. Seeks intervention from his/her manager on complex deals that fall outside of existing guidelines. Two or more years of high tech sales experience. Ability to communicate effectively over the telephone with high level decision makers. Ability to work independently. Typically bachelor degree in Business or Computer Science or equivalent





No Visa Sponsorship is available for this position.



Sales



No



US-VA,Virginia-Reston



Regular Employee Hire



Oracle",Entry level,Full-time,Information Technology and Services,Sales,https://www.linkedin.com/jobs/view/internet-sales-representative-i-at-oracle-2255104645?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=20&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
87,Strategic HR Support,"Global Science & Technology, Inc","Global Science & Technology, Inc., a fast-growing firm, is seeking an experienced Strategic HR expert with strong organizational skills to support a major NOAA contract located in Silver Spring, MD.

Duties

The successful candidate will work with a talented staff at NOAA/NESDIS Silver Spring in support of the Chief Administrative Office. The position is long-term and the successful candidate will engage in Workforce Planning, Job Analysis, and Survey . Responsibilities could include the following:



The individual with liaison with human resources specialists to work effectively in several HR disciplines, focused on key aspects of managing positions toward recruitment.














Selected applicants will be subject to a government background investigation.

GST offers competitive salaries; vacation, sick, and holiday leave; major medical, dental, life, long-term and short-term disability insurance; 401K retirement plan; tuition assistance; and opportunities for employee career growth and development.

All qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veterans' status. GST is an Equal Opportunity/Affirmative Action Employer.",Entry level,Full-time,Information Technology and Services,Human Resources,https://www.linkedin.com/jobs/view/strategic-hr-support-at-global-science-technology-inc-2255444631?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=21&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
88,Part Time Teller (20 hours weekly) Georgetown,Wells Fargo,"Job Description

Important Note If you are selected to move forward in the process, next steps for this job may include an on-line assessment and a video screen. Please make sure your profile includes a current email address that you check regularly (including your spam folder) as the invitations for these activities will be emailed to you. For internal candidates, you must apply via the Jobs site on Teamworks or Teamworks at Home and please ensure your profile lists a personal (external) email address as your primary email address so you can receive communications and complete these potential activities. Please refer to the Team Member Handbook for more information on the Internal Job Opportunities Process.

To participate in some selection activities you will need to respond to an invitation. The invitation can be sent by both email and text message. In order to receive text message invitations, your profile must include a mobile phone number designated as 'Personal Cell' or 'Cellular' in the contact information of your application.

At Wells Fargo, we want to satisfy our customers' financial needs and help them succeed financially. We're looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where you'll feel valued and inspired to contribute your unique skills and experience.

Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.

Consumer and Small Business Banking is at the center of our efforts to rebuild trust and transform the way we serve our customers and clients. The Consumer and Small Business Banking organization is focused on innovating and transforming our business with the customer at the center, better enabling customers to engage with us how, when, and wherever they choose through a broad suite of financial products and services. While we are pleased to be an industry leader in many consumer and small business areas, including retail deposits, debit card transaction and purchase volume, and small business lending, our primary goal is delivering for our customers. Our market positions are an outcome of great work by employees who are committed to serving our customers.

As a teller at Wells Fargo you will spend your time interacting with customers focused on providing exceptional customer service and building relationships. You will engage customers in conversations and share ways Wells Fargo can help to meet their financial needs.
Your responsibilities include


Please note Based on the volume of applications received, this job posting may be removed prior to the indicated close date. If you do not apply prior to the closing of this posting, we encourage you to apply for other opportunities with Wells Fargo.

Position requires full-time training for 3 weeks. Training schedule is as follows Monday – Friday – 8 30am – 5 00pm.
















2901 M St Nw - Washington, DC



All offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.

Relevant military experience is considered for veterans and transitioning service men and women.

Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.


5555114",Associate,Part-time,Financial Services,Finance,https://www.linkedin.com/jobs/view/part-time-teller-20-hours-weekly-georgetown-at-wells-fargo-2227306634?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=22&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
89,Sales Development Representative,BD Strategy Partners,"Our client, a fast-growing Compliance Saas company, is looking for a Sales Development Representative (SDR) to join their growing team. This client provides compliance solutions to CXO's at Asset Management and Wealth Management firms as well as other Financial Services organizations.

The marketing department generates 60-70 leads per month and as the only SDR, you will be responsible for converting these leads into viable sales opportunities.",Associate,Full-time,Computer Software,Sales,https://www.linkedin.com/jobs/view/sales-development-representative-at-bd-strategy-partners-2258362408?refId=ef0e22ce-7a1a-45a4-acc1-aa771ad79b5b&position=23&pageNum=3&trk=public_jobs_job-result-card_result-card_full-click
90,"Director of Talent, Diversity & Inclusion, Learning and Organizational development",Giant Food,"Director of Talent, Diversity & Inclusion, Learning and Organizational Development

POSITION SUMMARY/SCOPE:

This position provides strategy and expertise related to advancing the company's diversity & inclusion and talent management strategies to include: talent acquisition and recruitment; learning and development; and performance management. The incumbent will work closely with the HR team and business leaders within the Company and broader organization to provide insights, resources, tools and program design to advance the Company within the context of strategic talent management and business objectives/needs. ",Director,Full-time,Retail,Management,https://www.linkedin.com/jobs/view/director-of-talent-diversity-inclusion-learning-and-organizational-development-at-giant-food-2255423373?refId=74180658-b21c-4d95-b106-43076823aeb4&position=1&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click
91,Procurement Analyst,Mitchell Martin Inc.,"A Direct with the Manager role has opened up with a Top Financial company.

Location: Arlington, VA (LOCAL CANDIDATES ONLY)

We are looking for a Procurement Analyst who will coordinate between suppliers and relationship owners, perform analysis, tracks and updates status of supplier enablement project waves and executes reports in Excel, assists in onboarding and building strong rapport with vendors and performing other duties as needed.",Associate,Contract,Staffing and Recruiting,Supply Chain,https://www.linkedin.com/jobs/view/procurement-analyst-at-mitchell-martin-inc-2227343454?refId=74180658-b21c-4d95-b106-43076823aeb4&position=2&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click
92,Training Lead,DSA,"DSA recognizes that the global spread of COVID-19 is a challenging time for everyone. Our #1 priority is the health and safety of our workforce, guests and candidates, and we provide the necessary supplies to maintain safety in the work place. Due to the current situation surrounding COVID-19, our response time and scheduling of interviews may increase. DSA islooking to fill various positions despite the COVID-19 and are managing our workforce within the compliance of all state requirements.



This Role has daily responsiblities that include but not limited to",Entry level,Full-time,Information Technology and Services,Education,https://www.linkedin.com/jobs/view/training-lead-at-dsa-2258006177?refId=74180658-b21c-4d95-b106-43076823aeb4&position=3&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click
93,Energy Market Consultant,Siemens,"Position Scope
The position will work across multi-disciplinary project teams providing analytical support to ongoing consulting engagements. The Candidate will be expected to perform research and analysis on power and fuel markets utilizing internal models and contribute to the development of client deliverables.



Preferred candidates will have expertise in energy market analysis and an understanding of the analytical tools used in the industry. Experience, knowledge, and interest in the following areas is desired:

At Siemens, we are committed to an ownership culture, in which every employee takes personal responsibility for our company’s success. We utilize lean principles to continually improve our processes and customers’ experience.

Can you see yourself, learning, growing, and succeeding here? If so we'd like to meet you!

We offer flexible vacation time, a matching 401K plan, profit sharing, full health, life, vision and dental benefits.

Smart Infrastructure

Siemens Industry, Inc.

Early Professional

Full-time


Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability unrelated to ability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, order of protection status, protected veteran or military status, or an unfavorable discharge from military service, and other categories protected by federal, state or local law.


Applicants and employees are protected under Federal law from discrimination. To learn more, Click here .


Siemens follows Executive Order 11246, including the Pay Transparency Nondiscrimination Provision. To learn more, Click here .


California residents have the right to receive additional notices about their personal information. To learn more, click here .


Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, protected veteran or military status, and other categories protected by federal, state or local law.


Applicants and employees are protected under Federal law from discrimination. To learn more, Click here.


Siemens follows Executive Order 11246, including the Pay Transparency Nondiscrimination Provision. To learn more, Click here.",Associate,Full-time,Electrical/Electronic Manufacturing,Research,https://www.linkedin.com/jobs/view/energy-market-consultant-at-siemens-2225867607?refId=74180658-b21c-4d95-b106-43076823aeb4&position=5&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click
94,Marketing Director,South Block,"The ideal candidate will be responsible leading an effective marketing strategy to propel company growth. You will work cross-functionally to understand marketing needs, act as a company brand ambassador to external sources, and drive revenue growth through successful marketing campaigns. Build relationships within the community & be a part of and add value to our awesome company culture!",Mid-Senior level,Full-time,Restaurants,Marketing,https://www.linkedin.com/jobs/view/marketing-director-at-south-block-2258389320?refId=74180658-b21c-4d95-b106-43076823aeb4&position=6&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click
95,Salesforce Administrator,Partners,"Salesforce Administrative Assistant-Temp to Hire


Our client is a global engine of change for its cause. They protect and improve animals’ lives through their innovative, cutting-edge programs. They are seen around the world as a champion for the humane treatment of animals.",Associate,Full-time,Nonprofit Organization Management,Administrative,https://www.linkedin.com/jobs/view/salesforce-administrator-at-partners-2258031309?refId=74180658-b21c-4d95-b106-43076823aeb4&position=7&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click
96,"Researcher, Health Communication",Fors Marsh Group,"At Fors Marsh Group (FMG), we combine the power of science and strategy to improve people’s lives. Each day, we work with institutions and organizations that seek to disrupt markets, understand and influence behavior, drive action on a national scale, and create positive impact. Our approach extends far beyond our client portfolio—as a certified B Corporation and a 2020 Greenbook Top 50 Market Research Company, we make a difference in our community through corporate-sponsored employee volunteer programs and pro bono partnerships with values-aligned nonprofits. Most importantly, as a 2019 Washington Post Top Workplace, we are committed to putting people first and foster a culture that reflects that commitment. We are proud to be an equal opportunity employer, and we celebrate diversity and inclusivity as the foundation of a healthy, successful, and innovative work environment. Join us, and together we can work to ensure a better tomorrow. ",Mid-Senior level,Full-time,Research,Research,https://www.linkedin.com/jobs/view/researcher-health-communication-at-fors-marsh-group-2184380913?refId=74180658-b21c-4d95-b106-43076823aeb4&position=8&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click
97,Energy Analyst,"PEG, LLC Careers","Job Purpose:
Provides support to National Energy Program

Job Location:
This position is located in our main office in Fairfax, VA with an option to go remote after the training period. ",Entry level,Full-time,Mechanical or Industrial Engineering,Project Management,https://www.linkedin.com/jobs/view/energy-analyst-at-peg-llc-careers-2227386196?refId=74180658-b21c-4d95-b106-43076823aeb4&position=9&pageNum=4&trk=public_jobs_job-result-card_result-card_full-click
